indicator,País__ESTANDAR,Sexo,Grupos quinquenales de edad,Años__ESTANDAR,value,unit,notes_ids,source_id
"Población, por grupos de edad, según sexo",Colombia,Mujeres,85-89,2025,"154,5","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,90-94,2020,"40,9","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,90-94,2025,"49,9","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,95-99,2020,"8,5","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,95-99,2025,"9,5","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,100 y más,2020,"1,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,100 y más,2025,"1,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,0-4,2020,"165,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,0-4,2025,"147,3","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,5-9,2020,"177,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,5-9,2025,"165,5","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,10-14,2020,"181,5","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,10-14,2025,"177,1","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,15-19,2020,"183,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,15-19,2025,"182,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,20-24,2020,"196,7","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,20-24,2025,"184,2","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,25-29,2020,"206,2","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,25-29,2025,"198,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,30-34,2020,"210,8","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,30-34,2025,"207,1","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,35-39,2020,"198,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,35-39,2025,"211,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,40-44,2020,"176,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,40-44,2025,"197,7","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,45-49,2020,"158,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,45-49,2025,"175,1","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,50-54,2020,"154,3","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,50-54,2025,"156,6","Miles de personas, a mitad del año",,6547
